username,text
Hercircle_Off,Researchers at the Indian Institute of Technology (#IIT) Delhi have found a positive link between hysterectomy rate… https://t.co/Qr3s4LjC2I
Tony15978989,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
SunilAr75351501,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
parambeer,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
NaikRaviraj,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
AapKaTanu,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
AjEeT1_RaThOrE,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
Ladhar_ji,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
rahuljain1875,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
smruti_ranjan_b,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
SandeepSamriya,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
lokarevaibhavs,"RT @RahulMhambre: 1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa have qu…"
RahulMhambre,"1141 students of Delhi govt school cmng frm humble background clear #JEE #NEE
How many from 10k students from Goa h… https://t.co/TNgjnUaE2n"
mishra2_satyam,"@ArvindKejriwal दिल से जिंदाबाद

@AamAadmiParty 
#Delhi 
#ModiGovt 
#IIT 
#IITJEE 
I want to work with you under th… https://t.co/ABAiARKcyZ"
FaridabadModern,"Hands on Learning at IIT Delhi

The Modern School collaborated with the prestigious Indian Institute of Technology,… https://t.co/qQ3ekES5Yd"
SweetCookiesme,"RT @Live_Hindustan: देश की 23 आईआईटी में खाली रह गईं 442 सीटें, दिल्ली और गुवाहाटी फुल

#IIT #Delhi #Guwahati 

https://t.co/OjXnBCdrbS"
Live_Hindustan,"देश की 23 आईआईटी में खाली रह गईं 442 सीटें, दिल्ली और गुवाहाटी फुल

#IIT #Delhi #Guwahati 

https://t.co/OjXnBCdrbS"
HindustanUPBH,"देश की 23 आईआईटी में खाली रह गईं 442 सीटें, दिल्ली और गुवाहाटी फुल
#IIT @Live_Hindustan

https://t.co/YkNxNNjrkL"
Rajendrap1078,RT @mekarora: Arvind Kejriwal opened 500 schools in Delhi similarly #MamataBanerjee opened 500 IIT and Polytechnic in West Bengal. Thanks a…
anupjaiswal1958,"@MinhazMerchant But for #AIIMS Delhi #Manipal for medicine, #IIT (older ones) #IIMs, #Ashoka we stand nowhere in wo… https://t.co/Rok1uPtSUN"
TareenAneesa,"#Yoga and #Ayurveda may be effective in the treatment of high-risk cases of #COVID19, according to a research by th… https://t.co/YdMHuRtTf9"
oneindiaHindi,"'हाई रिस्क वाले कोरोना मरीजों का योग से इलाज प्रभावी', IIT दिल्ली की स्टडी का दावा  #coronavirus #study #iit #yoga… https://t.co/Ywhd1VvBB8"
shankr_rcg,"RT @latestly: Ayurveda, Yoga Effective in Treatment of High-Risk Cases of COVID-19 As per IIT Delhi’s Research
@iitdelhi

#Ayurveda #Yoga #…"
latestly,"Ayurveda, Yoga Effective in Treatment of High-Risk Cases of COVID-19 As per IIT Delhi’s Research
@iitdelhi… https://t.co/UoSijLURIz"
MoneycontrolH,#Covid19: IIT दिल्ली और देव संस्कृति विश्वविद्यालय के ज्वाइंट स्टडी में पता चला है कि कोरोना वायरस के अतिसंवेदनशील… https://t.co/fj1joDS1FT
shasharma_ggi,"team members are actually better performing than the pedigree hires I have made before.

I am not against #IIT or… https://t.co/NDUhStxAQo"
dellyranksindia,"Ayurveda, yoga effective in treatment of high-risk cases of COVID-19: IIT Delhi study #ayurveda #covid19 #IIT… https://t.co/JFM7agvbS8"
Romeobo40556078,@Amit995364 @ethicalsid @ArvindKejriwal @AamAadmiParty यह देख  @ArvindKejriwal का बेटा और बेटी दोनों ने #IIT Delhi… https://t.co/KqcJL3VcDT
ians_india,"With a score of 314 marks out of 360, R.K. Shishir from Bombay zone has secured the first rank in the #IIT entrance… https://t.co/kspkszIGjJ"
TheAllenVictor,"IIT Topper 2022, RK Shishir. Tanishka Kabra, Delhi zone Topper in females.

#IIT"
DivyyanshuM,"RT @AroraBhavyam: When it says in Delhi Metro, ""next station is IIT"" it hits hard.

#iit #jee"
RashmikaFanClu1,"Indian Institute of Technology, Bombay has declared JEE Advanced 2022 results. R K Shishir of IIT Bombay zone has t… https://t.co/y7VYei4uql"
ieeducation_job,#ExpressEducation | What should you choose? An engineering branch or an IIT of your liking? An IIT professor answer… https://t.co/Zj0JN7bjIT
IndianExpress,"RT @ieeducation_job: #ExpressEducation | Among 23 premier engineering schools, there are a few IITs that are more sought-after than others…"
